points,settlement1,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,settlement2,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,production,win,pips,dScore
6,9,C,4,O,2,S,3,W,9,C,11,L,60,0,16,5
10,8,W,4,O,3,W,5,L,8,C,10,C,67,1,22,4
6,6,L,9,L,3,C,6,W,3,L,11,C,53,0,20,3
4,5,O,6,W,9,S,4,L,5,O,11,C,38,0,22,5
7,5,L,6,W,11,C,9,O,4,S,2,S,51,0,19,5
10,5,L,9,O,10,O,6,W,4,L,11,C,67,1,21,4
6,5,L,9,S,10,W,3,O,9,O,11,C,54,0,19,5
7,5,S,8,W,10,S,6,W,4,C,3,O,47,0,22,4
8,5,O,6,W,11,O,9,W,10,S,11,O,71,0,20,3
2,6,W,11,L,12,S,6,L,9,W,3,C,31,0,19,4
8,5,C,6,S,9,W,6,S,3,O,11,O,86,0,22,4
5,8,C,4,L,3,O,9,L,10,W,11,S,47,0,19,5
10,6,S,9,L,3,O,5,L,8,L,10,W,77,1,23,4
9,8,L,4,W,3,O,4,L,5,C,11,S,56,0,19,5
7,5,S,8,L,10,O,9,C,10,O,2,L,46,0,20,4
10,5,S,8,O,10,W,4,O,9,C,11,L,55,1,21,5
6,8,O,4,O,3,S,6,W,3,S,11,W,26,0,19,3
6,5,S,6,W,9,W,8,L,4,C,3,S,47,0,23,4
8,6,L,4,O,3,S,6,L,4,S,3,C,70,0,20,4
6,5,C,6,L,11,S,4,L,9,W,2,O,43,0,19,5
6,5,W,9,W,10,L,6,L,4,C,3,S,37,0,21,4
11,5,W,8,O,10,O,8,S,4,S,3,C,72,1,22,4
9,5,S,6,W,9,W,6,W,3,O,11,L,67,0,22,4
6,9,C,10,O,11,W,5,S,8,S,10,L,43,0,21,5
7,4,S,5,S,11,W,6,L,9,C,2,L,31,0,19,4
4,6,C,9,L,3,O,6,C,3,O,11,S,47,0,20,4
10,5,C,6,C,9,W,5,L,8,S,10,S,77,1,25,4
5,8,S,4,W,3,O,4,L,5,C,11,S,41,0,19,5
5,6,O,9,W,10,L,5,C,6,O,11,C,41,0,23,4
10,8,L,4,C,3,W,4,S,9,O,11,C,64,1,19,5
4,5,C,8,L,10,L,5,S,9,O,2,S,44,0,21,4
8,3,W,9,O,10,S,3,L,4,S,5,C,57,0,18,5
